Dimension_1	Dimension_2
-9.708084	60.533638
-88.7762	37.81523
13.017682	-19.507421
83.53357	8.574835
28.542667	-54.7465
33.60702	-96.11865
-21.872192	17.536665
-30.902098	27.825052
-41.517384	25.45967
6.1236362	-83.91649
36.92614	-28.510973
-28.487637	61.023857
69.35972	-11.403845
-36.093483	55.92457
27.005678	47.828857
-108.625984	-24.347515
-81.94756	49.264946
57.560997	70.967545
6.53652	95.86498
107.96279	17.331953
-20.180885	22.768831
41.022293	-7.287017
-63.015358	13.5905
19.807823	-16.72452
-4.434774	-60.27018
38.99102	-94.729485
10.657996	65.22084
84.64027	23.205755
-1.0878991	-6.766678
-15.660558	-82.75028
78.794495	-32.106026
59.181995	-26.857588
-28.432457	-22.622047
41.509537	-29.147137
-97.15477	-33.34559
95.96712	-61.509315
35.298985	103.079124
71.4922	-10.0293
-18.591835	110.21531
-48.22726	38.572605
19.917099	51.2036
-69.94729	-26.175627
-83.8259	-63.512917
39.556652	25.020166
12.97715	-48.996338
-3.7239432	20.259592
-93.15898	-11.062282
82.773636	67.84905
-99.04284	-45.759087
85.39451	-26.820486
66.63268	-32.452385
-17.746105	-65.284966
-25.003342	-23.382933
-69.29698	32.514957
-96.07228	13.340886
-16.664745	51.70545
13.488606	-79.517815
-27.630104	45.168385
0.9702007	-63.394947
73.39713	-57.020554
-103.21705	47.54472
7.5419726	82.61908
-2.8595047	-82.90787
32.892372	68.6539
-34.523575	11.687624
1.8420997	103.047264
22.611145	28.81191
-85.74723	-58.087296
54.329018	75.71938
17.492567	78.375145
-37.226437	98.92868
-68.29261	-70.017136
33.949074	53.940636
-50.33437	63.524532
-23.683	-8.428298
-2.31024	50.38534
-98.667	0.64233947
40.298275	82.732895
51.715	-43.174046
-72.35119	7.2304487
83.61008	-52.283943
-44.540558	64.17434
-108.2962	15.14535
23.75374	-78.85136
26.93949	84.484726
-76.84467	-70.29621
60.467453	-18.085098
74.23333	-4.6302896
42.586937	18.336077
-5.626014	63.063774
-90.744835	10.36498
16.984058	52.96922
-7.0977917	90.32195
-24.308397	-28.081877
51.47606	93.40949
-26.216814	56.268894
35.416138	61.084972
-34.098118	26.66667
38.46297	63.021496
51.376694	36.82278
14.593232	-32.876915
-53.905342	-11.116032
104.99527	-15.801172
12.800816	-46.147614
-90.608086	-50.858376
-24.8991	-11.006738
50.754604	-43.584335
95.15138	-4.7227755
-14.559004	-14.536363
-88.31171	-40.926125
-76.66931	-12.219778
5.389877	78.07581
27.395683	-43.97707
23.124914	70.819664
-36.467453	-41.985634
4.4190965	-47.943443
-43.88028	-28.598982
7.901162	-41.352615
58.605606	9.49173
64.9236	63.62953
39.553005	-23.667072
-16.427818	74.03346
-4.017149	47.326077
-111.788734	-32.46522
14.940819	105.10474
-100.82334	-28.443571
-12.775605	-102.70014
-33.97934	-17.144476
-48.251	17.821388
-19.373362	68.89247
10.395845	101.5902
3.348504	-4.976579
-39.96991	52.711597
-97.60853	43.54623
-60.135086	-5.833105
-11.106433	64.965614
23.748554	17.49904
-37.455906	-91.295105
-12.676148	18.64956
-47.294197	-8.02079
59.307602	-3.9137757
22.584986	-57.79
12.239472	72.664894
24.142044	-42.548336
-24.159252	-23.376776
-6.778362	40.75954
46.377613	-73.88883
-87.59634	-24.320593
-22.540607	-80.87247
-61.102592	-42.294357
-26.904306	-87.080956
-38.249546	-4.4052997
-54.771446	-66.87246
109.68228	26.748781
77.83598	-51.022915
62.697453	-5.2796326
-62.091816	2.6059017
25.758566	-16.481073
-0.019933654	-27.459265
6.387278	-24.518581
38.38334	9.416912
-16.081573	-82.43714
56.508068	38.13994
-28.648043	-73.68834
1.5668156	102.76208
9.040003	33.849777
-49.1359	87.82348
-8.224783	31.004921
39.493206	-25.235802
74.778244	69.21503
50.161842	33.67573
-48.113243	-19.353222
-53.500267	36.334133
-47.968914	-78.694664
