Dimension_1	Dimension_2	Dimentions_3
-27.132687	17.096813	21.711143
0.95106685	49.99255	9.107349
3.1959317	43.55686	5.329287
31.554153	1.3229892	-13.539694
5.918703	6.458153	-41.698757
25.606436	-21.675888	-16.080442
-22.796124	4.0693455	-20.467182
-10.772335	23.557205	-6.7597103
-13.863365	-4.1749606	29.933903
4.8694196	-17.902365	25.352716
2.3929024	2.6298048	-3.729285
-32.874855	-33.966816	13.613753
-9.576857	13.148058	-0.88508886
-16.990812	37.12656	4.2570806
23.984589	-22.967566	-16.057566
-4.121694	23.89088	18.541906
28.026466	33.00389	-19.489006
26.464272	18.416227	-27.315058
40.427338	26.519754	14.126057
-4.757806	-37.839764	-19.078098
-25.212276	20.34596	-30.617281
-20.290594	-3.202118	-36.254944
-24.777224	2.4405286	-34.596607
-27.972012	-44.740585	-1.7917988
6.0235496	13.271303	51.176846
18.863081	-6.5140867	15.565298
0.73501277	-0.5109409	34.262836
38.580193	0.13293035	-7.7375484
24.615065	-11.861574	15.867909
-28.24017	-19.37569	35.931515
-26.212215	23.931498	28.950523
19.81021	7.734737	-28.821423
-13.82256	44.954357	-10.7781515
-37.260166	-15.194738	-9.753495
35.824173	8.248305	15.289348
-10.591687	-37.546333	25.676327
-14.804296	25.908531	36.71121
-26.423826	-8.150163	42.01409
13.523795	18.684565	16.985832
-12.461874	6.3624344	-34.059563
-16.266956	45.773933	-0.8967483
-19.985785	-34.06736	-9.231648
21.689394	-1.0039368	16.375675
14.611001	7.9961996	-21.700197
-7.6880913	-25.516134	-3.79045
-16.461287	43.589855	18.076296
-1.6969743	-17.8937	-7.4201493
31.075891	16.662405	18.537868
24.227999	-1.6231502	30.343555
-18.089468	14.651666	-9.627003
-27.320992	-39.060963	-14.100767
-12.61247	-8.439817	-27.037092
-25.876217	6.1466436	25.286821
-29.00466	2.1330614	10.526239
-7.0045457	-19.247992	-25.05726
1.536302	0.57221466	-6.262963
21.112564	-36.989433	-4.2463493
-3.5412493	5.1741896	5.3130994
0.2904344	12.317725	34.615135
-2.194373	21.31041	-9.648527
-41.565475	-7.573839	-12.673049
17.54707	-8.155526	17.37483
6.0750875	23.538496	25.579397
-32.738865	39.608475	-11.460831
-18.70852	-27.539684	10.473314
-29.876856	1.2528695	16.55425
-32.373726	-3.751774	-8.506746
33.87537	11.456722	35.23502
12.31548	-11.53993	-3.0079463
-17.539253	45.964317	-14.40787
-35.352577	-0.85105723	-13.50413
-3.348509	-2.3365347	-45.495483
14.76006	18.646114	-40.780094
22.406113	-16.37177	-44.874947
12.813822	-39.6155	-25.604586
-12.733936	-29.469263	1.0819306
10.996691	1.0856863	13.973196
-3.2110534	12.583272	17.232468
51.931793	-16.018475	-11.392311
-2.505099	21.838442	40.951397
-6.935409	-12.436169	24.174616
-21.423079	20.001661	1.1422452
-18.803368	-37.00816	32.382072
-3.456192	7.0458446	-48.453266
1.5788977	-26.326895	-3.343059
-5.1356883	-0.8959283	-49.28536
6.891575	-49.997524	14.700306
-28.191492	25.76581	10.660738
-9.03822	-10.588965	-7.3717256
-15.173131	-3.1549642	11.173528
11.944729	-9.811247	-12.754181
-30.389229	-25.154367	22.323748
21.364637	-8.753623	-23.718842
-5.447412	0.035581212	17.92494
-3.9720473	38.542156	-11.771998
36.641655	-2.5555453	30.76967
4.4494905	-25.791084	-8.87688
19.45702	-49.829266	4.053416
3.5875373	-2.0813594	-53.134922
-26.54813	10.469492	-34.727577
-29.34577	30.034658	16.249113
-36.872177	17.00541	-30.027048
6.099668	14.263564	40.440353
-35.360794	-15.484985	-23.630678
2.065806	-44.70857	-27.852911
12.325791	21.018623	-4.754398
-50.907715	5.2241883	-9.936866
-21.565853	-18.961813	-10.270402
9.443069	5.9386945	38.585865
-10.924141	-14.826932	-21.560762
-9.963494	-13.057971	-6.0611005
5.0769324	17.627201	15.489297
-7.0987415	16.899836	5.768852
0.5708383	-39.81071	-10.938383
-40.699852	0.2657647	-23.515106
-9.609833	-5.6117697	-21.928965
11.406884	-15.116321	10.252588
29.47146	-13.940871	-11.2920265
1.80296	-9.336287	25.994417
26.098259	9.244798	-21.498262
21.22413	-14.657249	-16.612556
-16.345398	12.0801935	-11.884812
-13.853916	-18.580967	34.35813
44.4155	13.349431	-22.919472
32.562172	-8.280214	-32.483746
-9.6977825	-20.5952	28.562002
16.09644	20.250587	17.459517
6.7277827	-44.35316	23.431122
24.176754	20.188421	-17.655691
23.902449	18.851942	-6.889766
-1.2723316	-27.702633	50.972954
28.434402	-10.230939	15.287591
16.412788	-14.103848	19.820444
15.616192	22.75799	37.198624
-9.562616	-9.812535	34.82126
9.743436	-12.279997	-2.8405552
-13.7381525	4.3193603	46.968456
30.602512	-14.056062	11.506266
-2.3320715	10.997804	4.211869
19.72588	32.518795	15.709051
-27.426458	22.705376	-22.832272
37.08532	-14.811074	8.256928
-31.874384	44.03096	-0.8824492
-8.468596	-11.641694	-28.426481
-26.486595	17.168203	24.307137
-10.027135	33.819984	-35.32752
19.794498	13.060302	23.080545
-5.9921646	49.441124	18.73141
12.443387	26.111477	21.012926
-9.300423	-6.8332376	-22.756401
37.788437	13.332788	10.213211
5.583202	-5.475174	22.026815
49.7597	-4.5440044	-1.3536463
5.214547	-33.08605	16.569155
14.496428	26.707306	0.21855699
17.753927	37.775642	-5.2480435
6.5289946	-9.842995	10.163902
-36.616695	10.930298	31.283815
34.51036	-29.83196	19.37467
6.028413	-23.807451	-20.606491
21.808718	-22.099207	-11.00223
-43.11271	-21.830772	-6.8811655
-20.959362	-21.808744	-2.9584782
14.04258	10.84404	27.84388
5.4966974	-24.275845	-32.998634
1.2543764	-40.85963	-12.97591
7.0877137	-41.88339	-18.9592
-0.5451128	7.5692196	-49.46016
-28.090986	-14.457424	23.558655
0.10672488	-1.2404897	-22.908873
18.321257	31.340319	-8.977423
-35.550007	-5.7376256	3.2183414
-43.822113	-0.7941909	-8.046692
-21.351803	-3.5744503	2.9371657
52.212856	-16.443092	-8.857967
-32.36073	-6.381987	0.4440529
0.16559431	-1.2979763	48.604053
28.923016	18.992401	12.481539
15.583989	16.16374	-5.9685645
-9.666671	-28.190666	33.62112
8.68133	-48.639828	7.582845
-29.31119	3.4123402	-40.83431
-23.37391	28.028938	-25.42073
1.4247388	-3.9890687	-9.431172
-0.39435595	-3.5262687	-9.009148
-30.937485	-25.345444	24.632864
2.7914155	19.809616	-16.14102
-24.530666	9.164695	-20.810629
-23.476448	-31.080654	-12.017732
28.175968	7.9122376	-44.748806
33.248352	-13.912579	19.260704
-33.69303	-12.590149	35.831398
37.838543	5.9592214	9.003103
18.585983	-10.967224	17.29839
-7.4660673	-17.180965	-16.23987
-18.936625	12.248672	-38.098755
28.56546	2.0302103	-45.48843
-47.072517	-7.7724905	1.8574561
7.976923	-29.127382	12.5924225
-4.2337384	-11.726829	-7.454797
1.9025784	39.805527	-31.532797
17.406496	39.229355	7.544994
24.65269	-5.973918	17.275412
33.426197	3.7913837	7.9390106
-0.7370781	16.163233	-12.503402
8.78847	-11.843966	22.542904
-26.403225	2.6539009	35.317535
-26.715971	-3.0893922	-13.835514
14.304067	-10.678637	12.216878
-29.483131	-11.620855	6.703172
27.101505	-14.583495	-14.254322
-3.0413718	12.699962	2.4251504
-41.118465	-2.8037877	20.700514
-34.221638	9.402956	-7.659285
-36.3551	-0.68670666	10.774866
28.905056	18.777859	12.427274
-5.5253406	-14.897638	12.295931
-26.166817	24.336658	29.623201
-15.40509	-10.9317	-31.67392
3.1119928	-7.7324295	-48.86174
22.034534	-32.871605	8.077165
32.87314	25.548824	0.7391032
-15.643399	-12.236777	41.3605
1.049217	45.2487	-2.462938
31.48276	-5.9156733	41.676697
27.288105	5.252728	-37.155254
-6.497799	-27.44166	-22.908802
-29.282682	-2.078685	37.628605
